OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 2251,1993-036A,2025-02-16T16:52:22.315584,14.33086546,0.00259,74.04,142.2116,298.4634,61.3908,0,U,22675,999,65489,9.6441e-05,2.39e-06,0.0
COSMOS 2251 DEB,1993-036E,2025-02-16T17:30:27.463392,14.32482335,0.0015829,74.0375,149.4246,241.7716,234.2231,0,U,33757,999,83714,8.8853e-05,2.15e-06,0.0
COSMOS 2251 DEB,1993-036F,2025-02-17T03:38:43.268352,14.48816489,0.0018747,74.0289,56.25,209.334,230.0553,0,U,33758,999,84031,0.0017328,6.539e-05,0.0
COSMOS 2251 DEB,1993-036G,2025-02-17T13:33:25.441056,15.19894621,0.000838,73.9894,221.4644,78.4599,351.0295,0,U,33759,999,84649,0.010398,0.00230709,0.0
COSMOS 2251 DEB,1993-036H,2025-02-16T14:41:41.157024,14.35411892,0.002183,74.0311,110.3378,283.9733,188.7236,0,U,33760,999,83832,0.00017473,4.77e-06,0.0
COSMOS 2251 DEB,1993-036J,2025-02-16T20:40:52.219200,14.41346604,0.0024992,74.035,86.1884,246.6278,286.8506,0,U,33761,999,83926,0.00071396,2.294e-05,0.0
COSMOS 2251 DEB,1993-036K,2025-02-17T12:36:17.350848,14.33545833,0.0016482,74.0419,135.1827,273.8683,98.4032,0,U,33762,999,83782,0.00011523,2.93e-06,0.0
COSMOS 2251 DEB,1993-036M,2025-02-17T04:31:50.979072,14.38672126,0.0021624,74.0326,103.6069,143.8789,271.9314,0,U,33764,999,83873,0.0005418,1.64e-05,0.0
COSMOS 2251 DEB,1993-036N,2025-02-16T18:44:11.330880,14.91814857,0.009798,74.013,61.8368,234.6016,299.2511,0,U,33765,999,85135,0.0033009,0.0003669,0.0
COSMOS 2251 DEB,1993-036P,2025-02-16T22:45:48.100896,14.33677175,0.0066429,74.1891,317.0531,244.8957,114.5293,0,U,33766,999,83461,0.0010074,2.84e-05,0.0
COSMOS 2251 DEB,1993-036R,2025-02-16T23:26:41.123904,13.58126013,0.0369298,74.0715,341.9281,206.316,236.5315,0,U,33768,999,79239,0.00036723,3.93e-06,0.0
COSMOS 2251 DEB,1993-036U,2025-02-16T16:20:13.641216,14.62400446,0.0017528,74.0472,27.2092,157.9212,15.3197,0,U,33779,999,84143,0.0012587,6.357e-05,0.0
COSMOS 2251 DEB,1993-036X,2025-02-16T22:32:47.285088,14.39392713,0.0022652,74.033,109.7109,254.5253,279.4948,0,U,33782,999,83825,0.0007495,2.313e-05,0.0
COSMOS 2251 DEB,1993-036Z,2025-02-17T03:08:39.662304,15.15179125,0.0035161,74.1722,66.0614,329.8737,98.8903,0,U,33784,999,85546,0.0049601,0.00095745,0.0
COSMOS 2251 DEB,1993-036AA,2025-02-16T23:18:11.984256,14.62736727,0.0024414,73.87,282.4705,280.63,194.4847,0,U,33785,999,84125,0.0030232,0.00015478,0.0
COSMOS 2251 DEB,1993-036AE,2025-02-16T20:59:46.569120,13.88197788,0.0241411,74.0611,234.3786,59.0192,46.1505,0,U,33789,999,80947,0.00057522,8.45e-06,0.0
COSMOS 2251 DEB,1993-036AG,2025-02-16T20:35:18.316032,14.41111897,0.0029974,74.1737,227.1283,143.9239,337.4863,0,U,33791,999,83743,0.0013549,4.366e-05,0.0
COSMOS 2251 DEB,1993-036AH,2025-02-16T21:21:03.168864,13.4525593,0.0432953,73.8992,102.4239,220.9781,316.8943,0,U,33792,999,78422,0.0019705,2.027e-05,0.0
COSMOS 2251 DEB,1993-036AJ,2025-02-16T20:27:19.445760,14.26299819,0.0081228,73.9853,332.5178,191.1277,226.4165,0,U,33793,999,82943,0.0011294,2.782e-05,0.0
COSMOS 2251 DEB,1993-036AL,2025-02-16T18:50:47.929344,14.91700401,0.0046717,74.0381,322.84,133.3479,290.7021,0,U,33795,999,85544,0.0024445,0.00025173,0.0
COSMOS 2251 DEB,1993-036AN,2025-02-16T22:10:57.306432,14.55993279,0.0063855,74.0452,242.0255,45.8466,65.4735,0,U,33797,999,84633,0.00093545,4.203e-05,0.0
COSMOS 2251 DEB,1993-036AP,2025-02-16T20:01:10.454592,14.44137976,0.00922,74.032,332.4376,167.7834,249.4679,0,U,33798,999,84278,0.00023711,8.28e-06,0.0
COSMOS 2251 DEB,1993-036AQ,2025-02-16T19:34:53.746176,14.69346277,0.0030888,74.0349,305.7548,102.8398,326.0827,0,U,33799,999,84405,0.0034885,0.00020797,0.0
COSMOS 2251 DEB,1993-036AW,2025-02-16T17:34:00.756480,14.56772616,0.0061435,74.0325,159.6875,61.7146,299.0198,0,U,33805,999,84871,0.00049181,2.228e-05,0.0
